irp_barcode,from_farm_id,sample_crop,sample_treatment,sample_seed_variety
IA20202.0,50,WHEAT,Control,Sylvester Zenda ~𝘈HRWW
IA20202.1,112,WHEAT,16930 WD,Sylvester Zenda ~𝘈HRWW
IA20202.2,112,WHEAT,525 WD,Sylvester Zenda ~𝘈HRWW
IA20202.3,112,WHEAT,17761 FP,Sylvester Zenda ~𝘈HRWW
IA20202.4,112,WHEAT,175 FP,Sylvester Zenda ~𝘈HRWW
IN20301.0,56,WHEAT,Control,Yerks Seed SRWW
IN20301.1,56,WHEAT,525 WD,Yerks Seed SRWW
IN20301.2,56,WHEAT,15890 FP,Yerks Seed SRWW
IN20301.3,56,WHEAT,22706 FP,Yerks Seed SRWW
IN20301.4,56,WHEAT,260 WD,Yerks Seed SRWW
IN20302.0,54,WHEAT,Control,Yerks Seed SRWW
IN20302.1,54,WHEAT,525 WD,Yerks Seed SRWW
IN20302.2,54,WHEAT,15890 FP,Yerks Seed SRWW
IN20302.3,54,WHEAT,22706 FP,Yerks Seed SRWW
IN20302.4,54,WHEAT,260 WD,Yerks Seed SRWW
IN20303.0,54,WHEAT,Control,Yerks Seed SRWW
IN20303.1,54,WHEAT,28 FP,Yerks Seed SRWW
IN20303.2,54,WHEAT,NULL,Yerks Seed SRWW
IN20303.3,54,WHEAT,NULL,Yerks Seed SRWW
IN20303.4,54,WHEAT,NULL,Yerks Seed SRWW
IN20304.0,53,WHEAT,Control,Yerks Seed SRWW
IN20304.1,53,WHEAT,525 WD,Yerks Seed SRWW
IN20304.2,53,WHEAT,15890 FP,Yerks Seed SRWW
IN20304.3,53,WHEAT,22706 FP,Yerks Seed SRWW
IN20304.4,53,WHEAT,260 WD,Yerks Seed SRWW
IN20305.0,53,WHEAT,Control,Yerks Seed SRWW
IN20305.1,53,WHEAT,28 FP,Yerks Seed SRWW
IN20305.2,53,WHEAT,NULL,Yerks Seed SRWW
IN20305.3,53,WHEAT,NULL,Yerks Seed SRWW
IN20305.4,53,WHEAT,NULL,Yerks Seed SRWW
IN20306.0,Unknown at this time 25R40,WHEAT,Control,Yerks Seed SRWW
IN20306.1,Unknown at this time 25R40,WHEAT,525 WD,Yerks Seed SRWW
IN20306.2,Unknown at this time 25R40,WHEAT,15890 FP,Yerks Seed SRWW
IN20306.3,Unknown at this time 25R40,WHEAT,22706 FP,Yerks Seed SRWW
IN20306.4,Unknown at this time 25R40,WHEAT,260 WD,Yerks Seed SRWW
IN20307.0,55,WHEAT,Control,Yerks Seed SRWW
IN20307.1,55,WHEAT,525 WD,Yerks Seed SRWW
IN20307.2,55,WHEAT,15890 FP,Yerks Seed SRWW
IN20307.3,55,WHEAT,22706 FP,Yerks Seed SRWW
IN20307.4,55,WHEAT,260 WD,Yerks Seed SRWW
KS20001.0,farm8,WHEAT,Control,Sylvester Mint HRWW
KS20001.2,farm8,WHEAT,525WD,Sylvester Mint HRWW
KS20001.3,farm8,WHEAT,17761FP,Sylvester Mint HRWW
KS20001.4,farm8,WHEAT,175FP,Sylvester Mint HRWW
KS20002.0,36,WHEAT,Control,Sylvester Mint HRWW
KS20002.1,36,WHEAT,1272 FP,Sylvester Mint HRWW
KS20002.2,36,WHEAT,22706 FP,Sylvester Mint HRWW
KS20002.3,36,WHEAT,17761 FP,Sylvester Mint HRWW
KS20002.4,36,WHEAT,175 FP,Sylvester Mint HRWW
KS20003.0,38,WHEAT,Control,Sylvester Doublestop CL+ HRWW
KS20003.1,40,WHEAT,1272 FP,Sylvester Doublestop CL+ HRWW
KS20003.2,40,WHEAT,22706 FP,Sylvester Doublestop CL+ HRWW
KS20003.3,40,WHEAT,17761 FP,Sylvester Doublestop CL+ HRWW
KS20003.3,100,WHEAT,17761 FP,Sylvester Doublestop CL+ HRWW
KS20003.4,40,WHEAT,175 FP,Sylvester Doublestop CL+ HRWW
KS20004.0,Farm4,WHEAT,Control,Sylvester Wolverine HRWW
KS20004.1,Farm4,WHEAT,1272FP,Sylvester Wolverine HRWW
KS20004.2,Farm4,WHEAT,22706FP,Sylvester Wolverine HRWW
KS20004.3,Farm4,WHEAT,17761FP,Sylvester Wolverine HRWW
KS20004.4,Farm4,WHEAT,175 FP,Sylvester Wolverine HRWW
KS20005.0,farm5,WHEAT,Control,Sylvester Revere HRWWć
KS20005.1,farm5,WHEAT,16930WD,Sylvester Revere HRWWć
KS20005.2,farm5,WHEAT,525WD,Sylvester Revere HRWWć
KS20005.3,farm5,WHEAT,17761FP,Sylvester Revere HRWWć
KS20005.4,farm5,WHEAT,175FP,Sylvester Revere HRWWć
KS20006.0,farm7,WHEAT,Control,Sylvester Langin HRWW
KS20006.1,farm7,WHEAT,1272FP,Sylvester Langin HRWW
KS20006.1,farm7,WHEAT,1272 FP,Sylvester Langin HRWW
KS20006.2,farm7,WHEAT,22706FP,Sylvester Langin HRWW
KS20006.2,farm7,WHEAT,22706 FP,Sylvester Langin HRWW
KS20006.3,farm7,WHEAT,17761FP,Sylvester Langin HRWW
KS20006.3,farm7,WHEAT,17761 FP,Sylvester Langin HRWW
KS20006.4,farm7,WHEAT,175FP,Sylvester Langin HRWW
KS20006.4,farm7,WHEAT,175 FP,Sylvester Langin HRWW
KS20007.0,Farm3,WHEAT,Control,Sylvester PhotonAX HRWW
KS20007.1,Farm3,WHEAT,16930WD,Sylvester PhotonAX HRWW
KS20007.2,Farm3,WHEAT,525WD,Sylvester PhotonAX HRWW
KS20007.3,Farm3,WHEAT,17761FP,Sylvester PhotonAX HRWW
KS20007.4,Farm3,WHEAT,175 FP,Sylvester PhotonAX HRWW
KS20008.0,SE 1 - 5,WHEAT,Control,Sylvester Monument HRWW
KS20008.0,SE 1-5-30,WHEAT,Control,Sylvester Monument HRWW
KS20008.1,SE 1 - 6,WHEAT,1272 FP,Sylvester Monument HRWW
KS20008.1,SE 1-5-30,WHEAT,1272 FP,Sylvester Monument HRWW
KS20008.2,SE 1 - 7,WHEAT,22706 FP,Sylvester Monument HRWW
KS20008.3,SE 1 - 8,WHEAT,17761 FP,Sylvester Monument HRWW
